pick_lat,pick_lon,drop_lat,drop_lon
40.751055,-73.997887,40.768977,-73.988692
40.757297,-73.977678,40.769317,-73.995422
40.792937,-73.96717,40.774547,-73.97704
40.746395,-73.97208,40.792347,-73.964162
40.75858,-73.992395,40.769085,-73.963087
40.754822,-73.998883,40.763585,-73.996265
40.736127,-73.993275,40.752497,-73.98331
40.760382,-74.002847,40.763882,-73.993397
40.750102,-73.991448,40.756237,-73.983247
40.753195,-73.981118,40.742692,-73.988255
40.749117,-73.995765,40.716297,-74.00447
40.72618,-73.995325,40.769245,-73.961635
40.78328,-73.952865,40.775775,-73.986938
40.772412,-73.965035,40.744272,-73.9844
40.722132,-73.997155,40.786282,-73.951652
40.72871,-74.006822,40.749452,-73.971245
40.747977,-74.003915,40.752912,-73.993242
40.759905,-73.968768,40.758027,-73.977045
40.738127,-74.005638,40.716577,-74.002275
40.752232,-73.989953,40.75641,-73.980305
40.805157,-73.954833,40.812797,-73.953245
40.778972,-73.958163,40.762725,-73.9735
40.771302,-73.964077,40.78325,-73.956792
40.771027,-73.963892,40.777107,-73.953787
40.705032,-74.008127,40.714715,-74.010847
40.75636,-73.99056,40.75898,-73.97126
40.796052,-73.970772,40.75701,-73.977955
40.763765,-73.9699,40.750217,-73.98296
40.756312,-73.974765,40.76394,-73.974067
40.746002,-73.984452,40.74921,-73.981932
40.745847,-73.99459,40.745192,-73.984823
40.7784,-73.954992,40.7855,-73.948632
40.744815,-73.985,40.757857,-73.97538
40.757882,-73.966977,40.752965,-73.985517
40.764062,-73.976585,40.819692,-73.957932
40.776057,-73.956015,40.756757,-73.971773
40.758297,-73.969257,40.765265,-73.954055
40.767712,-73.983127,40.789185,-73.968547
40.750202,-73.977332,40.750202,-73.977332
40.767385,-73.962147,40.758697,-73.976412
40.741837,-73.985,40.75178,-73.98016
40.781362,-73.960567,40.763817,-73.973332
40.77526,-73.956605,40.769915,-73.99499
40.739482,-74.005167,40.762047,-73.969555
40.736945,-73.98155,40.757875,-73.982467
40.779087,-73.981942,40.785357,-73.980497
40.752297,-73.977872,40.756615,-73.989907
40.764242,-73.967017,40.761512,-73.960635
40.771287,-73.965682,40.780177,-73.957388
40.726252,-73.991697,40.775002,-73.963035
40.745242,-73.975415,40.748862,-74.00268
40.784117,-73.966473,40.784117,-73.966473
40.765915,-73.987142,40.760912,-73.99809
40.74868,-73.988345,40.77452,-73.957447
40.726802,-73.996107,40.733227,-73.987298
40.761822,-73.978733,40.779837,-73.960617
40.749867,-73.991337,40.750565,-73.973927
40.729227,-74.002432,40.75222,-73.987845
40.773092,-73.966505,40.76399,-73.975752
40.7671,-73.953095,40.75012,-73.97354
40.74893,-73.991857,40.746375,-73.99376
40.755447,-73.965118,40.760657,-73.975485
40.752917,-73.994722,40.716345,-74.011368
40.78396,-73.952375,40.751012,-73.971287
40.760317,-74.002867,40.772847,-73.981815
40.750602,-73.982707,40.73434,-73.994585
40.747992,-73.981175,40.751955,-74.005982
40.753652,-73.97788,40.761807,-73.981717
40.766862,-73.986417,40.757077,-73.993575
40.768447,-73.984695,40.783297,-73.958815
40.779937,-73.959362,40.86537,-73.930932
40.71505,-74.005765,40.709247,-74.008352
40.731125,-74.006627,40.757862,-73.986788
40.745605,-73.990622,40.744345,-74.006675
40.748097,-73.973432,40.74714,-73.979265
40.707947,-74.012125,40.716417,-74.008877
40.81403,-73.959635,40.786047,-73.953072
40.757587,-73.989752,40.76564,-73.994782
40.761387,-73.970935,40.739977,-74.005323
40.76741,-73.95875,40.75392,-73.968157
40.763657,-73.963338,40.789822,-73.974328
40.725537,-74.00004,40.766322,-73.981523
40.844755,-73.94375,40.844755,-73.94375
40.812767,-73.960465,40.810262,-73.961477
40.768487,-73.985765,40.763895,-73.976135
40.711077,-74.015985,40.71881,-74.009322
40.74876,-73.996117,40.761802,-73.987467
40.738247,-73.996162,40.79281,-73.95007
40.75159,-73.978455,40.753192,-73.98937
40.747155,-73.985005,40.752547,-73.976077
40.771302,-73.96356,40.763172,-73.974267
40.760025,-73.995075,40.75355,-73.988825
40.743792,-73.989012,40.74463,-73.985432
40.70543,-74.007885,40.756007,-73.969322
40.801682,-73.968288,40.795747,-73.97276
40.749765,-73.991985,40.743362,-73.979967
40.755522,-73.990058,40.762495,-73.97421
40.750585,-73.990935,40.701452,-74.011485
40.774577,-73.965467,40.764797,-73.968647
40.764517,-73.96528,40.744947,-73.985515
40.783807,-73.950267,40.790252,-73.949522
40.7347,-73.986165,40.75418,-74.000272
40.755077,-73.998672,40.770495,-73.962105
40.742977,-73.99254,40.751165,-74.007982
40.739987,-74.002337,40.757522,-74.000145
40.774787,-73.95895,40.759817,-73.98174
40.756485,-73.989732,40.772022,-73.969177
40.774575,-73.959803,40.748267,-73.976363
40.7592,-73.988022,40.747147,-73.986997
40.723395,-73.996705,40.74624,-73.983975
40.76677,-73.953305,40.721212,-73.98687
40.779277,-73.947297,40.771705,-73.95764
40.782842,-73.955313,40.764112,-73.968752
40.769527,-73.981802,40.75853,-74.000333
40.754614,-73.975659,40.759657,-73.971653
40.79197,-73.964802,40.784207,-73.94816
40.719732,-73.978105,40.701575,-74.012488
40.749142,-73.979623,40.757105,-73.982495
40.748367,-73.995923,40.742717,-73.99427
40.756687,-73.9902,40.772395,-73.982092
40.714872,-73.992613,40.744752,-73.991332
40.840222,-73.942975,40.776872,-73.963563
40.76209,-73.957882,40.756375,-73.969643
40.75237,-73.978185,40.769075,-73.995833
40.712082,-74.010182,40.717552,-74.003593
40.741152,-73.997777,40.745822,-73.989967
40.783282,-73.944943,40.785347,-73.969357
40.744897,-73.972118,40.738507,-73.97371
40.776445,-73.96416,40.765557,-73.970265
40.742262,-73.985392,40.761527,-73.972072
40.807632,-73.964248,40.748952,-73.977945
40.750772,-73.975265,40.74699,-73.973707
